삼성전자,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
357557.13323268964,73648.37565931992,49418.696969205754,26072.5726736233,1873.8778242768194,141872.11781558132,7629.994404444705,5346.775242454936,133468.12999978734,629.77118900183,998.1657988660403,21321.85815407836,181238.559834813,136926.281105517,30562.617684135952
362431.13077171904,73681.8915280023,49436.1633857846,26116.95693145893,1868.2083019953866,142026.30569894912,7629.555620820367,5364.021908466511,133083.4799624527,626.1594349597176,1000.2643318553653,21337.34602314457,180920.2711490005,136752.74376504635,30480.9630739692
372241.60961791367,73749.57126195628,49494.8707164774,26206.324648652822,1856.822581908346,142336.04811408176,7628.759111263951,5398.566444266649,132317.33361786828,618.9631630197048,1004.5508060563727,21368.635315443822,180282.9257997213,136404.10091972485,30317.265602505333
377177.8347073089,73783.73318253181,49536.10527837882,26251.306689842462,1851.1065879432726,142491.59658230867,7628.401272998397,5415.863191373375,131935.85157919192,615.3787761073078,1006.7386907698956,21384.43572993548,179963.8975936347,136229.00120010946,30235.225909108864
392108.90709629963,73887.49534476791,49707.29031825974,26387.436935063506,1833.8673096496195,142960.91441871706,7627.488741624602,5467.844590277897,130797.8546088383,604.6813934123792,1013.4805759591907,21432.45393876724,179005.56283602622,135700.62392248434,29988.36206962501
397126.2987032606,73922.50487730809,49780.166242884356,26433.205971912656,1828.090800127464,143118.23427560748,7627.238033655254,5485.200225412371,130420.69522452846,601.1344078749994,1015.7871758872673,21448.66395159005,178685.74931622227,135523.48196345242,29905.8311849368
402163.65732375905,73957.72380455735,49860.942364445655,26479.169931922308,1822.2994251382415,143275.98927882104,7627.013963268763,5502.569167286179,130044.63380152339,597.5969341886127,1018.1233730929083,21464.9750736208,178365.77569461477,135345.83686613163,29823.18149582093
407220.8523664135,73993.15110969523,49949.614234941895,26525.328075504643,1816.4932915516629,143434.17632706376,7626.816471673819,5519.95084786382,129669.6771624347,594.0690365500336,1020.489133040592,21481.386783598777,178045.65657414755,135167.69163232052,29740.414605304057
412297.7528753808,74028.78576922193,50046.177211545175,26571.67965847288,1810.6725069787371,143592.79230875615,7626.6454996870325,5537.344698202634,129295.83208139784,590.5507789497229,1022.8844202360776,21497.898557745717,177725.40661267203,134989.04928021153,29657.53211916041
427645.37227308255,74136.92353991426,50383.16343174037,26711.887533368663,1793.1233344479192,144071.18258674862,7626.291103729207,5589.593565438976,128181.03319802885,580.0544831527395,1030.2470760407775,21548.02899009784,176764.01906926453,134450.16993979012,29408.20718487045
432799.77796359337,74173.37725000734,50511.240515670506,26759.00534091752,1787.245036663229,144231.48298455268,7626.225610612841,5607.03038839791,127811.70111642011,576.5754214236315,1032.760098200287,21564.93573353223,176443.39339529595,134269.5696206686,29324.87842715692
437973.2290382002,74210.03309838472,50647.18257723028,26806.312798819727,1781.3526368667633,144392.19660744665,7626.186335418599,5624.476523943034,127443.51373180882,573.1063165295237,1035.3024558441934,21581.93988523148,176122.71096803228,134088.48751644586,29241.44214214659
