삼성,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
42307.78906,81951.94531,156144.7188,21472.76758,2438.768799,132541.125,7492.746094,7369.606934,171586.8906,637.7405396,970.0761108,17682.28711,140691.6094,142683.5938,32187.05273
41290.74609,80607.26563,155174.6875,21411.24219,2494.665527,129090.7266,7429.581055,7726.787598,173069.0625,636.7814941,979.9237061,17348.25586,141545.0938,141210.0469,31585.90625
41480.90234,80340.53125,150966.8125,21107.86328,2692.565918,126907.3516,7322.209473,7742.963379,173460.0313,639.4636841,986.3208008,17235.48438,142272.3594,140670.4688,30914.625
41258.28516,80269.96094,150605.6875,21571.03906,2735.098389,127811.8516,7254.913086,7420.164063,177680.7813,630.8627319,983.291748,17321.29102,143270.1094,141504.9844,30649.88086
42149.84766,80603.45313,150764.3281,22000.27539,2850.662109,129225.1328,7161.249023,7531.266113,180403.0469,615.3321533,982.590271,17739.49219,145408.7969,144975.3906,30740.66016
41969.75,79804.07031,150883.0313,22868.54297,2569.754395,126999.8047,7057.428711,7599.892578,181249.8125,607.1383667,989.5124512,17252.96289,145012.6406,144902.875,30181.26563
42465.39453,79908.69531,152411.2656,22744.06836,2763.687988,126165.25,7050.565918,7204.047852,181590.7969,629.9642334,987.5583496,17544.09766,146208.8594,145008.9688,30245.13086
43221.04688,80256.67188,153073.0781,23113.45898,2864.427979,122739.3672,7134.284668,7141.794922,182334.9844,641.5299072,979.0598755,18028.17383,148160.6563,145353.3125,30827.7207
43421.5,80820.29688,150730.625,23331.59766,2708.786377,122146.6172,7154.049316,7551.921387,183281.625,643.757019,997.6496582,17870.14258,148561.7344,144595.0938,30992.7832
43972.97656,81737.25,151448.1875,23112.89258,2746.434814,122864.4766,7197.799316,7579.719727,186292.4844,634.9943237,1011.769592,17860.75586,150357.1875,144397.625,31222.20898
43905.5625,81442.21875,150880.6875,23254.50586,2766.941895,122993.2891,7240.051758,7669.127441,187885.3594,634.6027832,1071.505371,17773.84375,151014.7969,148028.9219,31122.1543
43443.62109,79315.64844,149203.2031,22949.38867,2788.983398,122991.9766,7286.496582,7543.904297,182898.0469,650.6881104,1052.706421,17356.53906,152265,154120.7188,31948.69336
43716.08203,78224.125,149357.9688,22503.64258,2716.178711,122145.3203,7314.555664,7284.713867,181732.1094,640.232605,1048.713257,17150.05273,152134.9844,156492.1563,31559.42773
44462.01953,78576.875,150599.1719,22829.41211,2684.206787,121967.875,7341.817383,7370.379395,189366.2813,624.9335327,1031.482544,17323.83398,153773,157798.125,31750.92383
44564.10938,78126.86719,150284.3125,23186.99023,2579.076416,121115.3984,7324.378906,7216.091797,195763.8438,615.9353027,1019.324341,16871.05664,155116.7188,158280.2188,31413.27734
44208.39063,79145.875,150439.7344,23085.16406,2669.51709,121771.6563,7284.597656,7174.714844,197465.2031,602.46521,1024.80835,16791.60547,155968.9688,155912.7656,31114.52734
44342.12891,81255.53125,150205.8281,22624.22266,2639.38623,123106.1719,7242.159668,7100.43457,197326.9531,598.578064,1015.33252,16784.875,155880.5313,156627.9844,30667.13672
44673.05859,82345.39844,152711.9531,22620.95703,2726.097656,121721.4453,7169.012695,6944.866699,200249.625,592.5341187,988.0906982,16825.36914,155129.8438,155432.0781,30452.88672
44555.16797,82853.22656,151470.5781,22343.97656,2687.485596,122270.75,7125.955566,7183.639648,204652.7656,577.1824951,985.4150391,16685.52148,156593.4844,153632.875,30095.83789
43988.42578,82201.14063,151795.8594,21978.63867,2680.511963,122364.9219,7063.155762,8337.166016,204376.1563,582.3009644,985.8832397,16031.9541,166318.875,153377.1875,30240.57422
43915.41406,82030.03125,157435.375,21868.78711,2760.332275,121982.2656,7060.249023,8361.763672,200640.0469,588.6990356,986.0497437,16169.28516,176399.1719,156716.125,30304.6543
44527.92969,82506.03125,161625.9063,21980.90625,2703.784668,123536.1953,6957.256348,8387.194336,198788.5781,593.378479,988.1834106,16315.78906,184609.4375,157524.0469,30161.66797
45484.09766,83612.11719,161940.6719,21983.57227,2880.405029,123817.4844,6956.153809,8379.289063,198203.75,579.6048584,1006.997437,16411.1543,189658.375,162304.8125,30851.32031
45953.21094,84396.01563,160231,22475.33008,2811.747314,124675.2188,7006.48584,8108.551758,197486.9688,584.6749878,1011.773376,16550.63086,194672.1094,162456.5313,31845.25195
46549.09766,83908.8125,159422.7344,22732.95313,2768.218262,123600.6328,7072.871094,8071.589355,196628.0938,604.1928711,1002.76709,16604.94531,199709.8125,164159.1719,31646.41016
46339.94922,83644.1875,161399.25,22734.5918,2782.587646,123406.9766,7173.515137,8294.40625,192047.5313,608.2848511,1005.080627,16609.14648,201628.2031,162872.0938,31608.89648
